x;y;z;normal_x;normal_y;normal_z;camera_posx;camera_posy;camera_posz;camera_rotx;camera_roty;camera_rotz
9.031386;3.025455;3.331535;0.4909577;0.02988441;-0.8706707;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
8.328281;2.798293;3.08344;0.8679885;-0.0006783398;0.4965839;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
5.207166;3.039294;3.93015;0.8719479;0.02554425;0.4889319;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
5.415393;2.917464;3.114407;0.8710645;4.371141e-08;0.4911686;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
8.253205;2.775972;2.95132;0.5412217;0.001635646;-0.8408783;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
-3.584357;5.317025;10.48942;0.6297148;0.05437203;-0.7749213;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
4.239028;3.38159;5.218252;0.4911686;-2.664535e-14;-0.8710645;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
3.289586;3.999814;6.959481;0.4911686;-2.664535e-14;-0.8710645;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
2.337143;4.241138;8.617686;0.4911686;-2.664535e-14;-0.8710645;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
8.705576;3.050777;3.149034;0.4903185;-0.002131168;-0.8715407;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
4.227937;5.356062;5.211998;0.4911686;-2.664535e-14;-0.8710645;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
4.268086;4.002036;5.234637;0.4911686;-2.664535e-14;-0.8710645;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
8.3236;2.575412;3.091318;0.8679885;-0.0006783398;0.4965839;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
5.20132;2.1738;3.922409;0.6136423;0.71067;0.3440804;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
